Datum export;20230125 15:06;;;StationsCode;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
PM2.5;uur;µg/m³;20220102 17:00;20220102 18:00;5.4;6.9;6.5;5.9;6.4;6.5;6.7;6;8.9;6.1;4.6;6.223;5.854;4.96;5.627;9.18;0.894;15.295;6.161;7.231;13.081;4.235;6.625;2.544;11.493;6.063;5.747;2.594;7.658;8.26;8.857;5.331;2.828;3.641;2.192
PM2.5;uur;µg/m³;20220102 18:00;20220102 19:00;3.9;6.2;4.7;4;4.2;4.4;4.5;4.2;5.7;4.2;4.5;8.759;4.416;3.791;8.253;8.465;2.974;10.689;6.159;7.166;9.729;9.778;4.512;4.91;9.631;8.088;10.003;3.202;7.692;9.112;10.101;5.348;3.036;2.171;1.141
PM2.5;uur;µg/m³;20220102 19:00;20220102 20:00;3.4;5.4;4.3;4.1;3.8;4.1;4.1;3.5;5.8;4.1;3.7;8.688;9.484;2.548;7.778;6.218;1.574;8.749;5.376;4.549;8.087;7.565;6.355;9.21;8.018;5.257;8.612;7.874;6.647;4.478;10.219;9.425;0.641;2.144;1.07
PM2.5;uur;µg/m³;20220102 20:00;20220102 21:00;3.5;3.7;3.6;3.2;3.9;3.8;4.4;4.5;6.5;3;4.3;5.739;6.271;1.589;3.24;4.241;-0.308;14.061;2.961;2.601;8.886;5.395;6.284;5.975;11.934;5.21;6.23;4.822;3.74;1.914;7.013;8.281;-0.092;2.494;2.256
PM2.5;uur;µg/m³;20220102 21:00;20220102 22:00;6.5;6.9;6.7;6.6;6.5;6.3;7.2;6.4;7.2;7.3;5.9;7.674;3.874;3.478;2.154;3.231;-4.507;6.325;7.741;5.52;3.912;7.399;3.959;5.226;6.961;6.765;1.833;1.606;2.924;0.673;6.015;6.325;2.191;3.304;6.698
PM2.5;uur;µg/m³;20220102 22:00;20220102 23:00;6.8;7.1;6.7;7.8;6.3;6.6;7.4;6.7;7.5;8.3;7.7;6.542;2.682;5.826;3.275;2.574;0.447;10.974;4.612;7.327;1.929;6.159;2.948;2.568;2.275;8.55;-1.023;4.424;4.276;-1.574;8.729;;2.611;2.826;7.408
PM2.5;uur;µg/m³;20220102 23:00;20220103 00:00;7.7;8.4;8.1;7.6;7.3;7.2;8;7.8;7.7;7.9;8.4;8.022;4.061;5.136;1.267;5.563;1.258;13.639;2.519;5.66;8.974;3.735;1.672;-0.701;3.792;5.266;3.489;4.14;5.737;6.285;5.645;2.49;2.951;0.849;4.185
PM2.5;uur;µg/m³;20220103 00:00;20220103 01:00;10.3;10.3;10;9.2;8.4;8.6;9.4;9.1;9.1;9.7;8.6;8.857;4.743;2.619;12.973;9.494;7.835;16.824;5.387;6.096;8.597;6.436;4.926;3.151;8.464;5.82;9.141;4.114;12.012;4.976;4.501;1.577;4.231;-0.549;4.005
PM2.5;uur;µg/m³;20220103 01:00;20220103 02:00;10.9;11.8;11.3;11;10;10.3;11.4;10.3;9.8;9.7;8.2;6.983;3.994;6.454;8.391;7.909;5.91;13.433;4.818;11.228;8.073;12.306;3.296;10.111;9.631;6.103;8.446;6.145;6.876;3.973;6.442;3.523;4.203;-2.126;0.892
PM2.5;uur;µg/m³;20220103 02:00;20220103 03:00;11.4;12.2;11.7;11.2;10.3;10.2;11.4;10.2;9.8;11.9;8.8;8.122;5.89;4.429;6.902;9.876;2.947;13.453;2.288;11.993;15.384;9.406;2.689;8.616;7.739;6.364;4.871;6.22;6.004;4.166;5.595;2.798;2.984;0.046;6.232
PM2.5;uur;µg/m³;20220103 03:00;20220103 04:00;12.2;12.8;12.4;11.2;10.9;11.3;12.4;11;11.5;11.6;9.1;7.379;5.83;0.262;7.375;9.915;0.964;11.728;6.721;9.033;11.268;8.118;3.786;11.199;8.798;4.49;10.121;5.879;6.303;4.028;15.452;4.327;3.917;3.266;5.179
